target_id,ens_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,,,,
PA4217,phzS,0.000124691,0.004307377,1.390558249,0.362434663,5.954929767,0.719908926,0.003311023,0.171455543,0.193727304,0.193727304,,,,
PA4064,PA4064,0.000127316,0.00437038,1.61965575,0.422710738,5.690910621,1.001406665,0.005275823,0.262750729,0.159843362,0.262750729,,,,
PA5369,pstS,0.000149623,0.005104011,1.367219567,0.360582731,5.941003104,0.658162363,0.003167482,0.118551967,0.191862376,0.191862376,,,,
PA4737,PA4737,0.000155693,0.005278089,1.515691467,0.400784806,4.540540116,0.776098128,0.012775684,0.095851742,0.228167007,0.228167007,,,,
PA4223,PA4223,0.000162766,0.0054838,2.298691826,0.609613318,7.448575555,1.971337284,0.000886138,0.481791425,0.556556458,0.556556458,,,,
PA2179,PA2179,0.000166681,0.005581258,1.748861913,0.46452957,6.333205938,1.176500663,0.002769364,0.320912218,0.264781917,0.320912218,,,,
PA0755,opdH,0.000168711,0.005614786,-2.282801129,0.606841311,5.950779345,2.005261951,0.00548405,0.546900516,0.19316515,0.546900516,,,,
PA1081,flgF,0.00017606,0.005823839,-3.711837454,0.98953275,4.860977998,5.308331262,0.045292595,1.423470001,0.166556557,1.423470001,,,,
PA0059,osmC,0.000179719,0.005909087,2.544249392,0.679201811,7.28388606,2.495539612,0.001262193,0.690710458,0.509927514,0.690710458,,,,
PA4221,fptA,0.000182688,0.005935177,2.953806995,0.789402477,8.852022459,3.207320974,0.000332017,0.736953291,0.93440239,0.93440239,,,,
PA4309,pctA,0.000181938,0.005935177,-1.223586534,0.326912188,5.647290986,0.521243015,0.004917548,0.085199719,0.15538982,0.15538982,,,,
PA5231,PA5231,0.000184717,0.005965604,-1.230194675,0.329012668,5.262685451,0.583912884,0.008650409,0.153723594,0.137798152,0.153723594,,,,
PA4633,PA4633,0.000207022,0.006646609,-1.27103083,0.342569084,5.789404281,0.512624091,0.004409111,0.030551238,0.171621255,0.171621255,,,,
PA1967,PA1967,0.000220838,0.007048745,-2.16464201,0.58600406,4.448759949,1.817783419,0.030505551,0.484595587,0.248499594,0.484595587,,,,
PA2185,katN,0.000224742,0.007131632,1.270235325,0.344288786,5.809072256,0.545390958,0.003622641,0.073054388,0.174179511,0.174179511,,,,
PA5212,PA5212,0.000228151,0.00719796,2.436395908,0.66105541,6.960306278,2.305200612,0.001872152,0.653619231,0.421012484,0.653619231,,,,
PA1250,aprI,0.000232656,0.007297907,1.157922674,0.314598807,5.473518602,0.447140972,0.004500309,0.051631561,0.143958305,0.143958305,,,,
PA3929,cioB,0.000243507,0.007594634,1.203743082,0.328085339,5.670397731,0.50511421,0.003780357,0.084238378,0.157679628,0.157679628,,,,
PA3611,PA3611,0.0002593,0.008041235,1.130572238,0.309500284,5.282112058,0.448282664,0.005775846,0.07525489,0.137909793,0.137909793,,,,
PA0050,PA0050,0.000274647,0.008469053,1.466588579,0.403118336,4.585416267,0.84026989,0.016194655,0.227561934,0.217858394,0.227561934,,,,
